"STATION","NAME","DATE","PRCP","TAVG"
"ASN00009021","PERTH AIRPORT, AS","1944-05","110.6",
"ASN00009021","PERTH AIRPORT, AS","1944-06","77.5","14.3"
"ASN00009021","PERTH AIRPORT, AS","1944-07","177.4","13.0"
"ASN00009021","PERTH AIRPORT, AS","1944-08","108.3","13.3"
"ASN00009021","PERTH AIRPORT, AS","1944-09","53.1","14.1"
"ASN00009021","PERTH AIRPORT, AS","1944-10","16.9","17.6"
"ASN00009021","PERTH AIRPORT, AS","1944-11","27.0","19.7"
"ASN00009021","PERTH AIRPORT, AS","1944-12","45.3","18.8"
"ASN00009021","PERTH AIRPORT, AS","1945-01","1.3","22.9"
"ASN00009021","PERTH AIRPORT, AS","1945-02","3.6","25.0"
"ASN00009021","PERTH AIRPORT, AS","1945-03","16.8","22.3"
"ASN00009021","PERTH AIRPORT, AS","1945-04","7.2","21.4"
"ASN00009021","PERTH AIRPORT, AS","1945-05","89.1","16.8"
"ASN00009021","PERTH AIRPORT, AS","1945-06","424.1","14.6"
"ASN00009021","PERTH AIRPORT, AS","1945-07","117.7","12.8"
"ASN00009021","PERTH AIRPORT, AS","1945-08","264.7","13.6"
"ASN00009021","PERTH AIRPORT, AS","1945-09","106.3","13.6"
"ASN00009021","PERTH AIRPORT, AS","1945-10","22.1","16.7"
"ASN00009021","PERTH AIRPORT, AS","1945-11","25.7","18.8"
"ASN00009021","PERTH AIRPORT, AS","1945-12","17.6","20.9"
"ASN00009021","PERTH AIRPORT, AS","1946-01","0.0","20.7"
"ASN00009021","PERTH AIRPORT, AS","1946-02","0.5","21.9"
"ASN00009021","PERTH AIRPORT, AS","1946-03","15.5","21.1"
"ASN00009021","PERTH AIRPORT, AS","1946-04","78.8","19.0"
"ASN00009021","PERTH AIRPORT, AS","1946-05","183.5","15.9"
"ASN00009021","PERTH AIRPORT, AS","1946-06","213.1","12.9"
"ASN00009021","PERTH AIRPORT, AS","1946-07","219.1","13.1"
"ASN00009021","PERTH AIRPORT, AS","1946-08","139.7","12.6"
"ASN00009021","PERTH AIRPORT, AS","1946-09","28.8","15.2"
"ASN00009021","PERTH AIRPORT, AS","1946-10","3.6","17.0"
"ASN00009021","PERTH AIRPORT, AS","1946-11","80.7","18.2"
"ASN00009021","PERTH AIRPORT, AS","1946-12","13.0","20.6"
"ASN00009021","PERTH AIRPORT, AS","1947-01","0.8","22.1"
"ASN00009021","PERTH AIRPORT, AS","1947-02","0.0","24.3"
"ASN00009021","PERTH AIRPORT, AS","1947-03","10.9","22.9"
"ASN00009021","PERTH AIRPORT, AS","1947-04","86.2","18.8"
"ASN00009021","PERTH AIRPORT, AS","1947-05","197.0","15.1"
"ASN00009021","PERTH AIRPORT, AS","1947-06","269.5","15.3"
"ASN00009021","PERTH AIRPORT, AS","1947-07","158.5","13.1"
"ASN00009021","PERTH AIRPORT, AS","1947-08","53.8","12.5"
"ASN00009021","PERTH AIRPORT, AS","1947-09","75.2","13.8"
"ASN00009021","PERTH AIRPORT, AS","1947-10","107.5","15.6"
"ASN00009021","PERTH AIRPORT, AS","1947-11","25.7","18.3"
"ASN00009021","PERTH AIRPORT, AS","1947-12","9.3","19.2"
"ASN00009021","PERTH AIRPORT, AS","1948-01","0.0","23.1"
"ASN00009021","PERTH AIRPORT, AS","1948-02","0.0","24.6"
"ASN00009021","PERTH AIRPORT, AS","1948-03","14.8","24.5"
"ASN00009021","PERTH AIRPORT, AS","1948-04","35.8","18.2"
"ASN00009021","PERTH AIRPORT, AS","1948-05","24.3","15.7"
"ASN00009021","PERTH AIRPORT, AS","1948-06","170.1","13.8"
"ASN00009021","PERTH AIRPORT, AS","1948-07","179.2","13.3"
"ASN00009021","PERTH AIRPORT, AS","1948-08","136.8","14.2"
"ASN00009021","PERTH AIRPORT, AS","1948-09","122.0","14.2"
"ASN00009021","PERTH AIRPORT, AS","1948-10","36.4","16.2"
"ASN00009021","PERTH AIRPORT, AS","1948-11","54.1","17.9"
"ASN00009021","PERTH AIRPORT, AS","1948-12","17.2","19.5"
"ASN00009021","PERTH AIRPORT, AS","1949-01","4.9","24.5"
"ASN00009021","PERTH AIRPORT, AS","1949-02","8.4","24.3"
"ASN00009021","PERTH AIRPORT, AS","1949-03","17.8","21.9"
"ASN00009021","PERTH AIRPORT, AS","1949-04","48.8","20.5"
"ASN00009021","PERTH AIRPORT, AS","1949-05","15.2","15.5"
"ASN00009021","PERTH AIRPORT, AS","1949-06","80.6","14.9"
"ASN00009021","PERTH AIRPORT, AS","1949-07","152.1","14.4"
"ASN00009021","PERTH AIRPORT, AS","1949-08","152.3","14.6"
"ASN00009021","PERTH AIRPORT, AS","1949-09","38.7","13.9"
"ASN00009021","PERTH AIRPORT, AS","1949-10","69.1","14.7"
"ASN00009021","PERTH AIRPORT, AS","1949-11","30.8","19.1"
"ASN00009021","PERTH AIRPORT, AS","1949-12","0.0","22.2"
"ASN00009021","PERTH AIRPORT, AS","1950-01","3.1","24.8"
"ASN00009021","PERTH AIRPORT, AS","1950-02","1.8","23.9"
"ASN00009021","PERTH AIRPORT, AS","1950-03","0.0","23.1"
"ASN00009021","PERTH AIRPORT, AS","1950-04","0.8","19.9"
"ASN00009021","PERTH AIRPORT, AS","1950-05","167.6","15.9"
"ASN00009021","PERTH AIRPORT, AS","1950-06","182.5","13.5"
"ASN00009021","PERTH AIRPORT, AS","1950-07","159.3","13.1"
"ASN00009021","PERTH AIRPORT, AS","1950-08","72.6","13.6"
"ASN00009021","PERTH AIRPORT, AS","1950-09","93.0","14.2"
"ASN00009021","PERTH AIRPORT, AS","1950-10","52.6","14.7"
"ASN00009021","PERTH AIRPORT, AS","1950-11","38.3","16.8"
"ASN00009021","PERTH AIRPORT, AS","1950-12","7.6","20.2"
"ASN00009021","PERTH AIRPORT, AS","1951-01","1.5","21.5"
"ASN00009021","PERTH AIRPORT, AS","1951-02","28.0","23.4"
"ASN00009021","PERTH AIRPORT, AS","1951-03","2.4","21.8"
"ASN00009021","PERTH AIRPORT, AS","1951-04","113.3","18.3"
"ASN00009021","PERTH AIRPORT, AS","1951-05","53.3","14.0"
"ASN00009021","PERTH AIRPORT, AS","1951-06","222.3","13.5"
"ASN00009021","PERTH AIRPORT, AS","1951-07","76.1","11.8"
"ASN00009021","PERTH AIRPORT, AS","1951-08","124.5","11.6"
"ASN00009021","PERTH AIRPORT, AS","1951-09","38.3","14.8"
"ASN00009021","PERTH AIRPORT, AS","1951-10","50.2","15.9"
"ASN00009021","PERTH AIRPORT, AS","1951-11","15.8","18.1"
"ASN00009021","PERTH AIRPORT, AS","1951-12","65.5","20.4"
"ASN00009021","PERTH AIRPORT, AS","1952-01","3.6","23.1"
"ASN00009021","PERTH AIRPORT, AS","1952-02","4.8","24.2"
"ASN00009021","PERTH AIRPORT, AS","1952-03","29.4","21.9"
"ASN00009021","PERTH AIRPORT, AS","1952-04","3.8","19.9"
"ASN00009021","PERTH AIRPORT, AS","1952-05","121.7","14.7"
"ASN00009021","PERTH AIRPORT, AS","1952-06","224.0","14.2"
"ASN00009021","PERTH AIRPORT, AS","1952-07","204.1","11.4"
"ASN00009021","PERTH AIRPORT, AS","1952-08","95.1","13.0"
"ASN00009021","PERTH AIRPORT, AS","1952-09","87.4","13.4"
"ASN00009021","PERTH AIRPORT, AS","1952-10","68.8","15.2"
"ASN00009021","PERTH AIRPORT, AS","1952-11","19.6","17.2"
"ASN00009021","PERTH AIRPORT, AS","1952-12","46.2","19.0"
"ASN00009021","PERTH AIRPORT, AS","1953-01","0.8","22.9"
"ASN00009021","PERTH AIRPORT, AS","1953-02","33.4","22.1"
"ASN00009021","PERTH AIRPORT, AS","1953-03","4.4","22.3"
"ASN00009021","PERTH AIRPORT, AS","1953-04","28.5","18.4"
"ASN00009021","PERTH AIRPORT, AS","1953-05","165.9","15.9"
"ASN00009021","PERTH AIRPORT, AS","1953-06","227.5","13.3"
"ASN00009021","PERTH AIRPORT, AS","1953-07","153.2","12.7"
"ASN00009021","PERTH AIRPORT, AS","1953-08","84.2","12.3"
"ASN00009021","PERTH AIRPORT, AS","1953-09","55.1","14.5"
"ASN00009021","PERTH AIRPORT, AS","1953-10","83.8","14.9"
"ASN00009021","PERTH AIRPORT, AS","1953-11","36.9","17.9"
"ASN00009021","PERTH AIRPORT, AS","1953-12","0.3","19.6"
"ASN00009021","PERTH AIRPORT, AS","1954-01","14.3","24.3"
"ASN00009021","PERTH AIRPORT, AS","1954-02","0.5","24.1"
