fips,county,state,lat,lon,normal_1981_2010,rcp85_2020_2039,rcp85_2040_2059,rcp85_2080_2099
1001,Autauga County,AL,32.535,-86.642998,18.361113,19.527779,20.516666,22.622223
1003,Baldwin County,AL,30.736,-87.723,19.211113,20.288887,21.133333,23.144447
1005,Barbour County,AL,31.870001,-85.392998,17.283333,18.43889,19.394447,21.477779
1007,Bibb County,AL,32.999001,-87.125999,16.433334,17.633335,18.666666,20.805553
1009,Blount County,AL,33.980999,-86.567001,15.961111,17.166668,18.255556,20.455555
1011,Bullock County,AL,32.099998,-85.716003,17.283333,18.43889,19.394447,21.477779
1013,Butler County,AL,31.752001,-86.68,17.444445,18.588888,19.544445,21.611113
1015,Calhoun County,AL,33.771,-85.825996,16.894444,18.083336,19.172224,21.399998
1017,Chambers County,AL,32.914001,-85.391998,16.505554,17.638889,18.67778,20.833334
1019,Cherokee County,AL,34.175999,-85.603996,15.177777,16.355555,17.505554,19.811113
1021,Chilton County,AL,32.848,-86.719002,17.555555,18.755556,19.788891,21.888889
1023,Choctaw County,AL,32.02,-88.263,18.166664,19.322222,20.33889,22.394444
1025,Clarke County,AL,31.677,-87.831001,18.166664,19.322222,20.33889,22.394444
1027,Clay County,AL,33.269001,-85.861,16.177776,17.372223,18.461113,20.627777
1029,Cleburne County,AL,33.674999,-85.518997,16.894444,18.083336,19.172224,21.399998
1031,Coffee County,AL,31.403,-85.987999,16.58889,17.73889,18.700003,20.772223
1033,Colbert County,AL,34.700001,-87.805,16.411112,17.683334,18.805555,21.100002
1035,Conecuh County,AL,31.429001,-86.994003,18.300001,19.4,20.261112,22.299999
1037,Coosa County,AL,32.936001,-86.248001,16.227777,17.416666,18.477779,20.622223
1039,Covington County,AL,31.247999,-86.450996,17.444445,18.588888,19.544445,21.611113
1041,Crenshaw County,AL,31.732,-86.314003,16.58889,17.73889,18.700003,20.772223
1043,Cullman County,AL,34.132,-86.867996,15.961111,17.166668,18.255556,20.455555
1045,Dale County,AL,31.431999,-85.611,17.283333,18.43889,19.394447,21.477779
1047,Dallas County,AL,32.326,-87.106003,16.433334,17.633335,18.666666,20.805553
1049,DeKalb County,AL,34.459999,-85.804001,14.727777,15.922222,17.072222,19.372223
1051,Elmore County,AL,32.596001,-86.149002,18.361113,19.527779,20.516666,22.622223
1053,Escambia County,AL,31.125999,-87.162003,18.300001,19.4,20.261112,22.299999
1055,Etowah County,AL,34.044998,-86.035004,16.594444,17.772223,18.899998,21.194445
1057,Fayette County,AL,33.721001,-87.738998,15.53889,16.81111,17.872221,20.23889
1059,Franklin County,AL,34.442001,-87.844002,17.205557,18.466665,19.550001,21.888889
1061,Geneva County,AL,31.094999,-85.838997,16.58889,17.73889,18.700003,20.772223
1063,Greene County,AL,32.853001,-87.952003,17.566666,18.811111,19.816666,22.044445
1065,Hale County,AL,32.763,-87.628998,16.433334,17.633335,18.666666,20.805553
1067,Henry County,AL,31.514999,-85.240997,17.566666,18.67778,19.594442,21.699999
1069,Houston County,AL,31.153,-85.302002,17.566666,18.67778,19.594442,21.699999
1071,Jackson County,AL,34.778999,-85.999001,14.938889,16.161112,17.333334,19.611113
1073,Jefferson County,AL,33.554001,-86.897003,17.344444,18.549999,19.638887,21.805555
1075,Lamar County,AL,33.778999,-88.097,15.53889,16.81111,17.872221,20.23889
1077,Lauderdale County,AL,34.901001,-87.653999,16.411112,17.683334,18.805555,21.100002
1079,Lawrence County,AL,34.521999,-87.310997,15.805556,17.055555,18.166664,20.472221
1081,Lee County,AL,32.601002,-85.355003,16.505554,17.638889,18.67778,20.833334
1083,Limestone County,AL,34.810001,-86.981003,15.166666,16.4,17.549999,19.822222
1085,Lowndes County,AL,32.154999,-86.650002,18.361113,19.527779,20.516666,22.622223
1087,Macon County,AL,32.386002,-85.693001,17.283333,18.43889,19.394447,21.477779
1089,Madison County,AL,34.763,-86.550003,16.677778,17.905558,19.066666,21.333334
1091,Marengo County,AL,32.248001,-87.790001,18.166664,19.322222,20.33889,22.394444
1093,Marion County,AL,34.136002,-87.887001,15.53889,16.81111,17.872221,20.23889
1095,Marshall County,AL,34.367001,-86.306999,15.177777,16.355555,17.505554,19.811113
1097,Mobile County,AL,30.794001,-88.208,19.538887,20.616667,21.399998,23.400002
1099,Monroe County,AL,31.570999,-87.364998,18.75,19.855555,20.722223,22.755554
1101,Montgomery County,AL,32.220001,-86.208,18.361113,19.527779,20.516666,22.622223
1103,Morgan County,AL,34.452999,-86.852997,16.677778,17.905558,19.066666,21.333334
1105,Perry County,AL,32.639,-87.293999,16.433334,17.633335,18.666666,20.805553
1107,Pickens County,AL,33.280998,-88.088997,17.566666,18.811111,19.816666,22.044445
1109,Pike County,AL,31.802999,-85.941002,17.283333,18.43889,19.394447,21.477779
1111,Randolph County,AL,33.293999,-85.459,15.322224,16.483332,17.566666,19.805557
1113,Russell County,AL,32.287998,-85.184998,18.67778,19.794443,20.822224,22.949999
1115,Saint Clair County,AL,33.716,-86.315002,16.177776,17.372223,18.461113,20.627777
1117,Shelby County,AL,33.264,-86.661003,17.344444,18.549999,19.638887,21.805555
1119,Sumter County,AL,32.591,-88.198997,17.566666,18.811111,19.816666,22.044445
1121,Talladega County,AL,33.380001,-86.166,16.177776,17.372223,18.461113,20.627777
1123,Tallapoosa County,AL,32.862,-85.796997,16.83889,18.016666,19.050001,21.205555
1125,Tuscaloosa County,AL,33.289001,-87.525002,18.300001,19.538887,20.555555,22.81111
1127,Walker County,AL,33.803001,-87.296997,17.01111,18.23889,19.283333,21.483332
1129,Washington County,AL,31.408001,-88.208,19.211113,20.288887,21.133333,23.144447
1131,Wilcox County,AL,31.989,-87.307999,18.166664,19.322222,20.33889,22.394444
1133,Winston County,AL,34.148998,-87.374001,17.205557,18.466665,19.550001,21.888889
2013,Aleutians East Borough,AK,55.686001,-161.241,3.75,5.3166666,6.1111112,8.3222218
2016,Aleutians West Census Area,AK,57.183998,-170.27901,1.850001,3.8277774,4.9555545,7.7888889
2020,Anchorage Municipality,AK,61.481998,-149.27299,2.3833339,4.0333323,5.3833327,8.0611105
2050,Bethel Census Area,AK,60.964001,-159.33099,-.76111156,1.3111115,2.466666,5.3000007
2060,Bristol Bay Borough,AK,58.743,-156.701,1.7222214,3.5777769,4.5444446,6.8944445
2068,Denali Borough,AK,63.673,-150.009,2.1722221,3.8833342,5.2388892,8.1888895
2070,Dillingham Census Area,AK,59.812,-158.189,1.7222214,3.5777769,4.5444446,6.8944445
2090,Fairbanks North Star Borough,AK,64.807999,-146.562,-2.4388885,-.76666617,.58888966,3.716666
2100,Haines Borough,AK,59.120998,-135.707,6.0111108,7.3833337,8.2444448,10.749999
2105,Hoonah-Angoon Census Area,AK,58.314999,-136.06599,6.0111108,7.3833337,8.2444448,10.749999
2110,Juneau City and Borough,AK,58.886002,-135.05099,6.0111108,7.3833337,8.2444448,10.749999
2122,Kenai Peninsula Borough,AK,60.352001,-152.996,3.8166661,5.6277785,6.8722215,9.3222218
2130,Ketchikan Gateway Borough,AK,55.59,-131.342,8.1000013,9.3500013,10.366667,12.372223
2150,Kodiak Island Borough,AK,58.971001,-152.15199,4.8388882,6.3222227,7.2555561,9.5666676
2158,Wade Hampton Census Area,AK,62.105,-163.304,-.76111156,1.3111115,2.466666,5.3000007
2164,Lake and Peninsula Borough,AK,58.653999,-156.173,1.7222214,3.5777769,4.5444446,6.8944445
2170,Matanuska-Susitna Borough,AK,62.316002,-149.57001,2.1722221,3.8833342,5.2388892,8.1888895
2180,Nome Census Area,AK,65.017998,-163.439,-5.1555557,-2.8277779,-1.4333333,2.5666661
2185,North Slope Borough,AK,69.306,-153.439,-4.7888894,-2.8888893,-1.4000002,2.3388884
2188,Northwest Arctic Borough,AK,67.061996,-159.70799,-5.1555557,-2.8277779,-1.4333333,2.5666661
2195,Petersburg Census Area,AK,56.547001,-132.87399,6.9499989,8.2111101,9.1277781,11.561111
2198,Prince of Wales-Hyder Census Area,AK,55.591,-132.78,6.9499989,8.2111101,9.1277781,11.561111
2220,Sitka City and Borough,AK,57.673,-135.60001,7.3722224,8.6166658,9.4333334,11.555555
2230,Skagway Municipality,AK,59.560001,-135.338,6.0111108,7.3833337,8.2444448,10.749999
2240,Southeast Fairbanks Census Area,AK,63.876999,-143.20599,-3.9333334,-2.2777779,-1.1055554,1.7777781
2261,Valdez-Cordova Census Area,AK,61.633999,-144.295,-2.1833334,-.51666683,.63333297,3.4944448
2275,Wrangell City and Borough,AK,56.674,-132.132,6.9499989,8.2111101,9.1277781,11.561111
2282,Yakutat City and Borough,AK,59.891998,-140.371,4.5611105,5.8277788,6.8166671,9.4333334
2290,Yukon-Koyukuk Census Area,AK,65.510002,-151.39,-3.6833329,-1.8722227,-.45555538,2.6055548
4001,Apache County,AZ,35.396,-109.489,9.2444439,10.66111,11.766666,14.094444
4003,Cochise County,AZ,31.879999,-109.751,17.544445,18.899998,19.861111,22.233332
4005,Coconino County,AZ,35.839001,-111.77,9.0166664,10.422221,11.594444,13.911112
4007,Gila County,AZ,33.799999,-110.812,19.733332,21.033333,22.105556,24.416664
4009,Graham County,AZ,32.931999,-109.886,17.65,18.972223,20.016666,22.388891
4011,Greenlee County,AZ,33.217999,-109.24,13.733334,15.066666,16.138889,18.533333
4012,La Paz County,AZ,33.729,-113.981,21.477779,22.744446,23.811111,26.000002
4013,Maricopa County,AZ,33.348999,-112.491,22.816666,24.094446,25.17222,27.366669
4015,Mohave County,AZ,35.703999,-113.758,20.6,21.905556,23.01111,25.294443
4017,Navajo County,AZ,35.400002,-110.321,12.944444,14.300001,15.455555,17.711111
4019,Pima County,AZ,32.097,-111.79,18.82222,20.133331,21.122221,23.43889
4021,Pinal County,AZ,32.903999,-111.345,21.316668,22.577778,23.622221,25.91111
4023,Santa Cruz County,AZ,31.525999,-110.847,16.611113,17.944447,18.905556,21.283333
4025,Yavapai County,AZ,34.599998,-112.554,13.205556,14.533333,15.649999,17.833332
4027,Yuma County,AZ,32.77,-113.906,22.316666,23.549999,24.583334,26.705555
5001,Arkansas County,AR,34.291,-91.375,16.516666,17.855555,18.83889,21.527779
5003,Ashley County,AR,33.191002,-91.767998,16.844444,18.183334,19.194447,21.505554
5005,Baxter County,AR,36.286999,-92.336998,13.883334,15.261112,16.394444,18.999998
5007,Benton County,AR,36.339001,-94.257004,14.927777,16.427778,17.594444,20.08889
5009,Boone County,AR,36.308998,-93.091003,13.066667,14.455556,15.611111,18.25
5011,Bradley County,AR,33.466,-92.162003,16.766666,18.111111,19.127777,21.533335
5013,Calhoun County,AR,33.557999,-92.502998,16.066666,17.416666,18.444443,20.883331
5015,Carroll County,AR,36.341,-93.539001,14.794445,16.233334,17.383333,19.966667
5017,Chicot County,AR,33.266998,-91.293999,18.383331,19.694443,20.733334,23.049999
5019,Clark County,AR,34.050999,-93.177002,16.211111,17.6,18.622221,21.133333
5021,Clay County,AR,36.368,-90.417,15.194444,16.605555,17.75,20.266668
5023,Cleburne County,AR,35.537998,-92.027,15.1,16.466667,17.555555,20.233332
5025,Cleveland County,AR,33.897999,-92.184998,16.066666,17.416666,18.444443,20.883331
5027,Columbia County,AR,33.214001,-93.226997,17.072222,18.449999,19.433334,21.9
5029,Conway County,AR,35.262001,-92.700996,16.5,17.916666,18.999998,21.638887
5031,Craighead County,AR,35.831001,-90.633003,15.061111,16.444443,17.5,20.094444
5033,Crawford County,AR,35.589001,-94.242996,16.472223,17.977777,19.08889,21.555557
5035,Crittenden County,AR,35.208,-90.308998,16.299999,17.661112,18.705555,21.266666
5037,Cross County,AR,35.296001,-90.771004,15.566667,16.93889,17.955555,20.611111
5039,Dallas County,AR,33.970001,-92.654999,16.066666,17.416666,18.444443,20.883331
5041,Desha County,AR,33.833,-91.253998,17.233334,18.583332,19.577776,22.08889
5043,Drew County,AR,33.589001,-91.720001,17.549999,18.899998,19.905556,22.361111
5045,Faulkner County,AR,35.146999,-92.332001,17.005556,18.372223,19.411112,22.094442
5047,Franklin County,AR,35.512001,-93.890999,15.855556,17.311111,18.400002,20.983332
5049,Fulton County,AR,36.382,-91.818001,13.622223,15.011111,16.15,18.683332
5051,Garland County,AR,34.577,-93.150002,16.6,18.016666,19.038887,21.672224
5053,Grant County,AR,34.290001,-92.424004,16.377777,17.755554,18.772223,21.333334
5055,Greene County,AR,36.118,-90.558998,15.355556,16.76111,17.866669,20.388887
5057,Hempstead County,AR,33.735001,-93.667999,16.788889,18.177778,19.199999,21.677776
5059,Hot Spring County,AR,34.318001,-92.945999,16.6,18.016666,19.038887,21.672224
5061,Howard County,AR,34.089001,-93.992996,17.35,18.755556,19.805557,22.272221
5063,Independence County,AR,35.742001,-91.57,14.294444,15.672222,16.766666,19.411112
5065,Izard County,AR,36.095001,-91.913002,13.883334,15.261112,16.394444,18.999998
5067,Jackson County,AR,35.598999,-91.214996,15.622222,17.005556,18.038889,20.733334
5069,Jefferson County,AR,34.269001,-91.931999,16.872221,18.227776,19.222221,21.916664
5071,Johnson County,AR,35.57,-93.459999,15.855556,17.311111,18.400002,20.983332
5073,Lafayette County,AR,33.241001,-93.607002,17.072222,18.449999,19.433334,21.9
5075,Lawrence County,AR,36.041,-91.107002,15.166666,16.561111,17.627777,20.227779
5077,Lee County,AR,34.780998,-90.781998,16.566666,17.91111,18.938887,21.566666
5079,Lincoln County,AR,33.958,-91.733002,17.322222,18.683332,19.655554,22.211113
5081,Little River County,AR,33.701,-94.235001,17.677778,19.08889,20.105556,22.544445
5083,Logan County,AR,35.215,-93.716003,15.855556,17.311111,18.400002,20.983332
5085,Lonoke County,AR,34.754002,-91.889,16.872221,18.227776,19.222221,21.916664
5087,Madison County,AR,36.011002,-93.724998,14.794445,16.233334,17.383333,19.966667
5089,Marion County,AR,36.268002,-92.683998,13.066667,14.455556,15.611111,18.25
5091,Miller County,AR,33.313,-93.891998,17.677778,19.08889,20.105556,22.544445
5093,Mississippi County,AR,35.764,-90.053001,16.227777,17.616667,18.67778,21.216667
5095,Monroe County,AR,34.678001,-91.204002,16.516666,17.855555,18.83889,21.527779
5097,Montgomery County,AR,34.539001,-93.658997,14.95,16.377777,17.427776,19.994444
5099,Nevada County,AR,33.664001,-93.306999,16.211111,17.6,18.622221,21.133333
5101,Newton County,AR,35.919998,-93.218002,12.705555,14.111112,15.238889,17.894444
5103,Ouachita County,AR,33.592999,-92.882004,16.994444,18.349998,19.366667,21.816666
5105,Perry County,AR,34.946999,-92.931,15.444444,16.844444,17.883335,20.549999
5107,Phillips County,AR,34.428001,-90.848,16.566666,17.91111,18.938887,21.566666
5109,Pike County,AR,34.162998,-93.655998,17.35,18.755556,19.805557,22.272221
5111,Poinsett County,AR,35.574001,-90.663002,15.061111,16.444443,17.5,20.094444
5113,Polk County,AR,34.486,-94.227997,15.233333,16.711113,17.800001,20.277779
5115,Pope County,AR,35.448002,-93.033997,16.5,17.916666,18.999998,21.638887
5117,Prairie County,AR,34.830002,-91.553001,16.516666,17.855555,18.83889,21.527779
5119,Pulaski County,AR,34.77,-92.311996,17.005556,18.372223,19.411112,22.094442
5121,Randolph County,AR,36.341999,-91.028,15.166666,16.561111,17.627777,20.227779
5123,Saint Francis County,AR,35.021999,-90.748001,15.566667,16.93889,17.955555,20.611111
5125,Saline County,AR,34.646999,-92.677002,15.444444,16.844444,17.883335,20.549999
5127,Scott County,AR,34.861,-94.063004,15.233333,16.711113,17.800001,20.277779
5129,Searcy County,AR,35.910999,-92.699997,14.522222,15.9,17.044445,19.672224
5131,Sebastian County,AR,35.200001,-94.274002,16.472223,17.977777,19.08889,21.555557
5133,Sevier County,AR,33.997002,-94.240997,16.422222,17.849998,18.92222,21.355556
5135,Sharp County,AR,36.160999,-91.480003,13.622223,15.011111,16.15,18.683332
5137,Stone County,AR,35.860001,-92.156998,13.883334,15.261112,16.394444,18.999998
5139,Union County,AR,33.171001,-92.597,17.461111,18.811111,19.82778,22.205557
5141,Van Buren County,AR,35.581001,-92.515999,14.522222,15.9,17.044445,19.672224
5143,Washington County,AR,35.979,-94.216003,13.888889,15.35,16.522223,19.038887
5145,White County,AR,35.256001,-91.746002,15.805556,17.177776,18.216667,20.933334
5147,Woodruff County,AR,35.186001,-91.242996,16.483332,17.866669,18.888889,21.572224
5149,Yell County,AR,35.002998,-93.411003,16.288889,17.744444,18.811111,21.383331
6001,Alameda County,CA,37.645,-121.882,15.783333,16.822222,17.644444,19.594442
6003,Alpine County,CA,38.598,-119.82,8.1999989,9.4666672,10.53889,12.633334
6005,Amador County,CA,38.446999,-120.649,16.455555,17.588888,18.600002,20.644447
6007,Butte County,CA,39.667,-121.6,16.15,17.277777,18.33889,20.444447
6009,Calaveras County,CA,38.205002,-120.554,9.6777763,10.877779,11.922222,13.950001
6011,Colusa County,CA,39.178001,-122.237,16.705555,17.783335,18.827778,20.744442
6013,Contra Costa County,CA,37.915001,-121.931,14.683333,15.71111,16.538889,18.538891
6015,Del Norte County,CA,41.743,-123.897,11.077777,12.049999,12.75,14.616668
6017,El Dorado County,CA,38.778999,-120.524,13.8,14.961111,15.994445,18.105553
6019,Fresno County,CA,36.757999,-119.651,17.961113,19.133335,20.17222,22.177776
6021,Glenn County,CA,39.598999,-122.391,16.705555,17.783335,18.827778,20.744442
6023,Humboldt County,CA,40.699001,-123.873,11.572224,12.533334,13.233334,15.077778
6025,Imperial County,CA,33.041,-115.364,22.505556,23.722221,24.68889,26.711113
6027,Inyo County,CA,36.512001,-117.412,17.694443,18.905556,19.961111,22.244446
